id	a1	a2	a3	a4	l1	l2	l3	l4	l5	l6	l7	l8	l9	m1	p1	p2	att	bonus	final
1	17.5	12	16	10	1	1	1	1	1	-	1	1	1	42	8	10	10		44
2	22	22	18	11	1	1	1	-	1	1	1	1	-	43	7	8	9		51
3	20	20	18	12	1	1	1	1	1	1	1	1	1	36	10	10	10		56
4	22	22	18	10	1	1	1	1	1	1	1	1	1	48	10	10	10	1	60
5	22	19	18	11	1	1	1	1	1	1	1	1	1	33	9	10	10		45
6	20.5	22	17	12	1	1	1	1	1	1	1	1	1	49	10	8	10		58
7	21.5	22	18	9	1	1	1	1	1	1	1	1	-	45	9.5	10	9		53
8	19.5	22	18	11	1	1	1	1	1	1	1	1	1	43	10	10	10		63
9	21.5	20.5	17	12	1	1	1	1	1	1	1	-	1	42	7.5	9	10		51
10	14.5	16	17	11	1	1	1	1	1	1	1	1	1	44	10	10	10		38
11	21		18		1	1	1	1	1	1	1	-	-	41	9.5	10	10		55
12	19.5	22	17	11	1	1	1	1	1	1	1	1	1	34	6	8.5	10	1	46
13	18	20	17	12	1	1	1	1	1	1	1	1	1	42	7	9	10		50
14	22	22	11	10	1	1	1	1	1	1	1	1	1	38	6	8.5	10		54.5
15	21.5		18	11	1	1	1	1	1	1	1	1	-	44	10	10	10		52
16	18	22	15	9	1	1	1	1	1	1	1	1	1	40	7	9	9		31
17	19	18	18	8	1	1	1	1	1	1	1	1	-	29	10	10	10		36
18	22	22	18	11	1	1	1	1	1	1	1	1	1	48	9	9.5	10		50
19	21	12	17		1	1	1	1	1	1	1	1	-	44	7	9	9		47
20	0	18	10		-	-	-	-	-	-	-	-	-	28	7	9	5		21
21	19	14	14	9	1	1	1	1	1	1	1	1	1	45	8	10	10		46
22	22	22	16	11	1	1	1	1	1	1	1	1	1	46	10	10	10	1	57
23	22	22	18	11	1	1	1	1	1	1	1	1	1	44	10	10	10		55
24	22	20	18	9	1	1	1	1	1	1	1	1	1	47	9	9	9		59
25	18.5	14	0	11	1	1	1	1	1	1	1	1	-	38	10	10	10	1	40
26	22	22	18	12	1	1	1	1	1	1	1	1	1	46	10	10	10		53.5
27	15	18	18	10	1	1	1	1	1	1	1	1	1	43	9.5	10	10	1	48
28	21	18	16		1	1	1	1	1	1	1	1	-	39	10	10	10		41
29	21.5	22	14	11	1	1	1	1	1	1	1	1	1	42	10	10	10		52.5
30	19.5	19	17	12	1	1	1	1	1	1	1	1	-	44	8	7	10		42
31	14.5	16	17	12	1	1	1	1	1	1	1	1	-	35	10	8	10		62
32	21	22	18	12	1	1	1	1	1	1	1	1	1	47	6	8.5	10		53
33	19	22	0		1	1	-	-	1	-	-	-	-	43	9	10	8		55
34	22	22	18	12	1	1	1	1	1	1	1	1	-	35	10	10	10		31.5
35	20.5	22	18	10	1	1	1	1	1	1	1	1	1	44	9	10	10	1	50
36	22	22	17	9	1	1	1	1	1	1	1	1	1	48	10	10	10	1	44
37	11	15.5	18		1	1	1	1	1	1	1	1	-	44	10	10	10		40
38	20	19	18		1	1	1	1	1	-	1	1	1	37	10	8	10		56
39	20.5	16.5	17	10	1	1	1	1	1	1	1	1	1	43	10	10	10		35
40	0		16	10	-	1	-	1	1	1	1	1	-	21	10	10	10	1	32
41	17.5	21	17	10	1	1	1	1	1	1	1	1	1	42	8.5	9.5	10		53.5
42	22	22	18	10	1	1	1	1	1	1	1	1	1	35	10	9.5	10		44
43	22	22	18	8	1	1	1	1	1	1	1	1	1	46	8.5	9.5	10		41
44	20	20	0			1								46		9.5	6		0
45	21	22	18	11	1	1	1	1	1	1	1	1	1	48	9.5	10	10		52
46	22	22	18	11	1	1	1	1	1	1	1	1	1	48	9	9.5	10		50.5
47	19		14	10	1	1		1	1	1	1	1	1	33	9.5	10	10		63
48	21	22	15	12	1	1	1	1	1	1	1	1	1	41	7.5	9	10		51
49	20.5	19	18	12	1	1	1		1	1	1	1	1	41	8	10	10		56
50	21	16	16	9	1	1		1	1	1	1	1			9.5	10	8		42
51	20	20	13	6	1	1	1	1	1	1	1	1	1	44	6	8.5	10		36
52	20.5	22	17		1	1	1	1	1	1	1	1		44	8	10	9		45.5
53	18.5	22	18	12	1	1	1	1	1	1	1	1	1	45	7.5	9	10		56
54	22	14	17	8	1	1	1	1	1	1	1	1	1	42	10	10	9		0
55	22	22	16	12	1	1	1	1	1	1	1	1	1	47	10	10	10		38
56	22	22	18	10	1	1	1	1	1	1	1	1	1	49	10	10	10	1	60
57	17	22	18	10	1	1	1	1	1	1	1	1	1	46	9	10	9	1	45
58	22	20	15	8	1	1	1	1	1	1	1	1	1	48	9	9	10		39
59 	18	19	15	9	1	1	1	1	1	1	1	1	1	41	7.5	9	10		54
60	18.5	19.5	17	11	1	1	1	1	1	1	1	1	1	43	10	10	10		53
61	0	21	0	10		1		1	1	1				43	10	10	7	1	37
62	18.5	21	18	10	1	1	1	1	1	1	1	1	1	41	9.5	10	10		51.5
63	15.5	19	17	7	1	1	1	1	1	1	1	1	1	46	8	7	9		59
64	22	22	15	9	1	1	1	1	1	1	1	1	1	43	10	9.5	8		52
65	21	22	17	10	1	1	1	1	1	1	1	1	1	38	9	9.5	10	1	54
66	22	22	18	11	1	1	1	1	1	1	1	1	1	44	10	10	10		54
67	21	19	18	12	1	1	1	1	1	1	1	1	1	48	8	7	10		45
68	22	22	15	11	1	1	1	1	1	1	1	1	1	43	10	9.5	10	1	49
69	15.5	22	17	8	1	1	1	1	1	1	1	1	1	32	10	9.5	9	1	25
70	22	20	16	9	1	1	1	1	1	1	1	1	1	51	9	9	10		59
71	19	21	18	9		1	1	1	1	1	1	1		25	9.5	10	9		41
72	17	20	5		1	1	1	1	1	1	1	1		36	7	8	10		45
73	22	22	18	12	1	1	1	1	1	1	1	1	1	48	9.5	10	10		62
74	20	16	17	11	1	1	1	1	1	1	1	1	1	34	9.5	10	10	1	55
75	22	11.5	7	11	1	1	1	1	1	1	-	1	-	46	8.5	9.5	10		31
0	22	22	18	12	1	1	1	1	1	1	1	1	1	50	10	10	10	1	67
